,;gram;pu;P;1
local;adj;;CVCVC;870
média;adj;;CVCVV;889
geral;adj;;CVCVC;892
visão;nom;;CVCVV;897
claro;adj;;CCVCV;906
fácil;adj;;CVCVC;926
idade;nom;;VCVCV;929
perto;adv;;CVCCV;930
esses;gram;det;VCCVC;936
troca;nom;;CCVCV;937
favor;nom;;CVCVC;948
geral;nom;;CVCVC;950
turma;nom;;CVCCV;952
médio;adj;;CVCVV;968
carta;nom;;CVCCV;971
casas;nom;;CVCVC;978
tanto;gram;det;CVCCV;979
desta;gram;prp+det;CVCCV;990
banda;nom;;CVCCV;996
essas;gram;det;VCCVC;999
amigo;nom;;VCVCV;1000
baixa;adj;;CVVCV;1001
neste;gram;prp+det;CVCCV;1005
ambos;gram;det;VCCVC;1010
notas;nom;;CVCVC;1023
norte;adj;;CVCCV;1031
filha;nom;;CVCCV;1041
longe;adv;;CVCCV;1042
delas;gram;prp+pers;CVCVC;1045
mudar;ver;;CVCVC;1047
opção;nom;;VCCVV;1048
armas;nom;;VCCVC;1054
tomar;ver;;CVCVC;1056
peças;nom;;CVCVC;1070
aliás;adv;;VCVVC;1077
civil;adj;;CVCVC;1083
hotel;nom;;CVCVC;1084
busca;nom;;CVCCV;1085
pedir;ver;;CVCVC;1095
capaz;adj;;CVCVC;1130
órgão;nom;;VCCVV;1137
certa;adj;;CVCCV;1145
rádio;nom;;CVCVV;1176
faixa;nom;;CVVCV;1184
união;nom;;VCVVV;1190
vista;nom;;CVCCV;1196
haver;ver;;CVCVC;1197
velho;adj;;CVCCV;1200
abrir;ver;;VCCVC;1212
ajuda;nom;;VCVCV;1227
igual;adj;;VCVVC;1236
jovem;adj;;CVCVC;1240
praia;nom;;CCVVV;1246
posse;nom;;CVCCV;1253
tipos;nom;;CVCVC;1258
obter;ver;;VCCVC;1261
pista;nom;;CVCCV;1265
seção;nom;;CVCVV;1277
atriz;nom;;VCCVC;1286
clima;nom;;CCVCV;1290
casal;nom;;CVCVC;1292
porta;nom;;CVCCV;1302
fotos;nom;;CVCVC;1319
perda;nom;;CVCCV;1336
dessa;gram;prp+det;CVCCV;1345
norte;nom;;CVCCV;1362
massa;nom;;CVCCV;1370
ainda;adj;;VVCCV;1373
vídeo;nom;;CVCVV;1378
bolsa;nom;;CVCCV;1381
ritmo;nom;;CVCCV;1388
tarde;adv;;CVCCV;1394
exame;nom;;VCVCV;1418
lucro;nom;;CVCCV;1432
legal;adj;;CVCVC;1435
votar;ver;;CVCVC;1445
leste;nom;;CVCCV;1450
irmão;nom;;VCCVV;1451
avião;nom;;VCVVV;1459
temas;nom;;CVCVC;1467
carne;nom;;CVCCV;1469
sinal;nom;;CVCVC;1485
passo;nom;;CVCCV;1488
corte;nom;;CVCCV;1489
nesse;gram;prp+det;CVCCV;1493
fatos;nom;;CVCVC;1496
praça;nom;;CCVCV;1504
caixa;nom;;CVVCV;1512
fonte;nom;;CVCCV;1516
etapa;nom;;VCVCV;1547
andar;nom;;VCCVC;1555
times;nom;;CVCVC;1558
curto;adj;;CVCCV;1563
estes;gram;det;VCCVC;1566
ouvir;ver;;VVCVC;1598
resto;nom;;CVCCV;1610
carga;nom;;CVCCV;1613
estar;ver;;VCCVC;1618
tirar;ver;;CVCVC;1623
tiros;nom;;CVCVC;1631
grave;adj;;CCVCV;1648
meios;nom;;CVVVC;1659
cesta;nom;;CVCCV;1662
regra;nom;;CVCCV;1669
cores;nom;;CVCVC;1685
poder;ver;;CVCVC;1690
frase;nom;;CCVCV;1692
feira;nom;;CVVCV;1698
parar;ver;;CVCVC;1713
palco;nom;;CVCCV;1719
altos;adj;;VCCVC;1748
verão;nom;;CVCVV;1771
bicho;nom;;CVCCV;1779
leite;nom;;CVVCV;1782
estas;gram;det;VCCVC;1784
vagas;nom;;CVCVC;1790
mesmo;gram;ks;CVCCV;1795
viver;ver;;CVCVC;1797
jeito;nom;;CVVCV;1823
matar;ver;;CVCVC;1824
teste;nom;;CVCCV;1833
aulas;nom;;VVCVC;1850
minas;nom;;CVCVC;1888
vocês;gram;pers;CVCVC;1891
vigor;nom;;CVCVC;1907
poeta;nom;;CVVCV;1919
baixo;adj;;CVVCV;1932
safra;nom;;CVCCV;1936
erros;nom;;VCCVC;1940
cenas;nom;;CVCVC;1947
penal;adj;;CVCVC;1949
sorte;nom;;CVCCV;2007
shows;nom;;CCVCC;2015
subir;ver;;CVCVC;2023
ponta;nom;;CVCCV;2033
tiver;ver;;CVCVC;2040
mídia;nom;;CVCVV;2050
redes;nom;;CVCVC;2056
chuva;nom;;CCVCV;2075
sonho;nom;;CVCCV;2105
termo;nom;;CVCCV;2108
daqui;gram;prp+adv;CVCVV;2110
micro;nom;;CVCCV;2126
gosto;nom;;CVCCV;2130
vôlei;nom;;CVCVV;2133
calor;nom;;CVCVC;2136
rosto;nom;;CVCCV;2149
feliz;adj;;CVCVC;2150
ponte;nom;;CVCCV;2156
motor;nom;;CVCVC;2159
multa;nom;;CVCCV;2160
longa;adj;;CVCCV;2161
vírus;nom;;CVCVC;2166
fator;nom;;CVCVC;2182
posto;nom;;CVCCV;2195
claro;adv;;CCVCV;2202
velha;adj;;CVCCV;2224
baixo;adv;;CVVCV;2231
bomba;nom;;CVCCV;2236
dança;nom;;CVCCV;2249
pobre;adj;;CVCCV;2257
dupla;nom;;CVCCV;2262
humor;nom;;CVCVC;2289
passe;nom;;CVCCV;2290
nação;nom;;CVCVV;2335
chapa;nom;;CCVCV;2336
museu;nom;;CVCVV;2345
sexta;adj;;CVCCV;2358
reais;nom;;CVVVC;2371
anual;adj;;VCVVC;2389
canal;nom;;CVCVC;2413
sério;adj;;CVCVV;2418
tocar;ver;;CVCVC;2419
nesta;gram;prp+det;CVCCV;2424
culpa;nom;;CVCCV;2426
atuar;ver;;VCVVC;2447
serra;nom;;CVCCV;2463
briga;nom;;CCVCV;2468
olhar;nom;;VCCVC;2474
rapaz;nom;;CVCVC;2495
morto;adj;;CVCCV;2507
enfim;adv;;VCCVC;2526
golpe;nom;;CVCCV;2527
saldo;nom;;CVCCV;2555
graça;nom;;CCVCV;2565
fugir;ver;;CVCVC;2583
morro;nom;;CVCCV;2587
altas;adj;;VCCVC;2589
águas;nom;;VCVVC;2591
itens;nom;;VCVCC;2601
nessa;gram;prp+det;CVCCV;2616
placa;nom;;CCVCV;2629
droga;nom;;CCVCV;2659
braço;nom;;CCVCV;2666
canto;nom;;CVCCV;2685
pouca;gram;det;CVVCV;2695
porte;nom;;CVCCV;2699
juízo;nom;;CVVCV;2719
autos;nom;;VVCVC;2729
pegar;ver;;CVCVC;2733
roupa;nom;;CVVCV;2738
ciclo;nom;;CVCCV;2739
alemã;adj;;VCVCV;2747
entre;num;;VCCCV;2750
ondas;nom;;VCCVC;2759
ideal;adj;;VCVVC;2764
rural;adj;;CVCVC;2770
bônus;nom;;CVCVC;2777
samba;nom;;CVCCV;2783
artes;nom;;VCCVC;2786
tanta;gram;det;CVCCV;2829
clara;adj;;CCVCV;2830
gerar;ver;;CVCVC;2832
bloco;nom;;CCVCV;2836
túnel;nom;;CVCVC;2855
metrô;nom;;CVCCV;2865
donos;nom;;CVCVC;2877
arroz;nom;;VCCVC;2886
abuso;nom;;VCVCV;2891
ferro;nom;;CVCCV;2913
preso;nom;;CCVCV;2919
seres;nom;;CVCVC;2937
salas;nom;;CVCVC;2948
ampla;adj;;VCCCV;2949
acaso;nom;;VCVCV;2951
ótimo;adj;;VCVCV;2972
ganho;nom;;CVCCV;2980
mente;nom;;CVCCV;2985
noção;nom;;CVCVV;2992
negro;adj;;CVCCV;2995
graus;nom;;CCVVC;3003
major;nom;;CVCVC;3043
russo;adj;;CVCCV;3055
pedra;nom;;CVCCV;3073
herói;nom;;CVCVV;3077
padre;nom;;CVCCV;3087
ricos;adj;;CVCVC;3101
achar;ver;;VCCVC;3110
ambas;gram;det;VCCVC;3122
vinte;num;;CVCCV;3130
bater;ver;;CVCVC;3138
fluxo;nom;;CCVCV;3152
virar;ver;;CVCVC;3156
índio;nom;;VCCVV;3159
gesto;nom;;CVCCV;3172
verde;adj;;CVCCV;3182
trama;nom;;CCVCV;3186
bases;nom;;CVCVC;3189
navio;nom;;CVCVV;3210
cujos;gram;det;CVCVC;3212
comer;ver;;CVCVC;3224
ideal;nom;;VCVVC;3232
civis;adj;;CVCVC;3245
tênis;nom;;CVCVC;3271
então;adj;;VCCVV;3300
verba;nom;;CVCCV;3307
cópia;nom;;CVCVV;3319
cheio;adj;;CCVVV;3363
lance;nom;;CVCCV;3428
elite;nom;;VCVCV;3431
bolso;nom;;CVCCV;3446
plena;adj;;CCVCV;3451
barco;nom;;CVCCV;3456
lados;nom;;CVCVC;3475
ética;nom;;VCVCV;3479
dores;nom;;CVCVC;3481
vidro;nom;;CVCCV;3506
metas;nom;;CVCVC;3508
negra;adj;;CVCCV;3509
pauta;nom;;CVVCV;3516
oscar;nom;;VCCVC;3536
chave;nom;;CCVCV;3542
milho;nom;;CVCCV;3543
letra;nom;;CVCCV;3547
peito;nom;;CVVCV;3549
moral;adj;;CVCVC;3551
óbvio;adj;;VCCVV;3572
toque;nom;;CVCVV;3598
amiga;nom;;VCVCV;3600
salto;nom;;CVCCV;3614
rigor;nom;;CVCVC;3617
costa;nom;;CVCCV;3622
ópera;nom;;VCVCV;3624
sócio;nom;;CVCVV;3637
salão;nom;;CVCVV;3642
laudo;nom;;CVVCV;3646
urnas;nom;;VCCVC;3661
nisso;gram;prp+spec;CVCCV;3664
danos;nom;;CVCVC;3687
álbum;nom;;VCCVC;3689
porto;nom;;CVCCV;3694
úteis;adj;;VCVVC;3695
justo;adj;;CVCCV;3708
telas;nom;;CVCVC;3716
atlas;nom;;VCCVC;3721
aluno;nom;;VCVCV;3731
vinho;nom;;CVCCV;3754
metal;nom;;CVCVC;3758
senso;nom;;CVCCV;3765
cinto;nom;;CVCCV;3798
amplo;adj;;VCCCV;3802
êxito;nom;;VCVCV;3805
poema;nom;;CVVCV;3814
banho;nom;;CVCCV;3819
sexta;nom;;CVCCV;3838
cheia;adj;;CCVVV;3847
vento;nom;;CVCCV;3883
andar;ver;;VCCVC;3894
invés;nom;;VCCVC;3914
terça;nom;;CVCCV;3928
dobro;nom;;CVCCV;3991
fusão;nom;;CVCVV;3993
perna;nom;;CVCCV;3997
redor;nom;;CVCVC;3998
marco;nom;;CVCCV;4009
apelo;nom;;VCVCV;4011
roubo;nom;;CVVCV;4016
lazer;nom;;CVCVC;4028
aérea;adj;;VVCVV;4030
saber;nom;;CVCVC;4034
cujas;gram;det;CVCVC;4057
falha;nom;;CVCCV;4058
curva;nom;;CVCCV;4070
negar;ver;;CVCVC;4078
penas;nom;;CVCVC;4095
conto;nom;;CVCCV;4123
drama;nom;;CCVCV;4125
fases;nom;;CVCVC;4141
olhar;ver;;VCCVC;4142
extra;adj;;VCCCV;4151
ligar;ver;;CVCVC;4162
valer;ver;;CVCVC;4179
antes;gram;prp;VCCVC;4253
lutar;ver;;CVCVC;4257
bordo;nom;;CVCCV;4274
breve;nom;;CCVCV;4282
bolas;nom;;CVCVC;4297
desde;gram;ks;CVCCV;4302
grama;nom;;CCVCV;4306
falar;nom;;CVCVC;4319
falso;adj;;CVCCV;4327
impor;ver;;VCCVC;4338
pasta;nom;;CVCCV;4347
rodas;nom;;CVCVC;4351
dupla;adj;;CVCCV;4356
peixe;nom;;CVVCV;4383
piano;nom;;CVVCV;4384
optar;ver;;VCCVC;4391
bares;nom;;CVCVC;4394
barra;nom;;CVCCV;4401
cabos;nom;;CVCVC;4412
fraco;adj;;CCVCV;4431
diabo;nom;;CVVCV;4441
duplo;adj;;CVCCV;4443
honra;nom;;CVCCV;4453
missa;nom;;CVCCV;4455
pleno;adj;;CCVCV;4460
sabor;nom;;CVCVC;4472
zonas;nom;;CVCVC;4488
russa;adj;;CVCCV;4508
pneus;nom;;CCVVC;4513
prato;nom;;CCVCV;4522
temor;nom;;CVCVC;4523
fruto;nom;;CCVCV;4556
saque;nom;;CVCVV;4571
firme;adj;;CVCCV;4572
prata;nom;;CCVCV;4592
nobre;adj;;CVCCV;4635
mapas;nom;;CVCVC;4643
povos;nom;;CVCVC;4645
ilhas;nom;;VCCVC;4650
couro;nom;;CVVCV;4664
metro;nom;;CVCCV;4670
rever;ver;;CVCVC;4673
morar;ver;;CVCVC;4702
disto;gram;prp+spec;CVCCV;4717
curta;adj;;CVCCV;4729
casar;ver;;CVCVC;4753
fixar;ver;;CVCVC;4789
justa;adj;;CVCCV;4790
turnê;nom;;CVCCV;4796
ativa;adj;;VCVCV;4818
beira;nom;;CVVCV;4819
durar;ver;;CVCVC;4821
preta;adj;;CCVCV;4835
fitas;nom;;CVCVC;4843
vivos;adj;;CVCVC;4853
areia;nom;;VCVVV;4875
lento;adj;;CVCCV;4886
juíza;nom;;CVVCV;4895
leves;adj;;CVCVC;4896
pacto;nom;;CVCCV;4898
dicas;nom;;CVCVC;4912
raios;nom;;CVVVC;4924
datas;nom;;CVCVC;4972
lição;nom;;CVCVV;4990
filas;nom;;CVCVC;5000
túlio;nom;;CVCVV;5011
fórum;nom;;CVCVC;5034
depor;ver;;CVCVC;5061
citar;ver;;CVCVC;5068
certo;gram;det;CVCCV;5098
vozes;nom;;CVCVC;5126
vidas;nom;;CVCVC;5170
usina;nom;;VCVCV;5179
amigo;adj;;VCVCV;5183
preto;nom;;CCVCV;5217
chute;nom;;CCVCV;5277
trigo;nom;;CCVCV;5292
civis;nom;;CVCVC;5296
temer;ver;;CVCVC;5309
dedos;nom;;CVCVC;5327
folga;nom;;CVCCV;5330
grãos;nom;;CCVVC;5331
louco;adj;;CVVCV;5345
raiva;nom;;CVVCV;5347
blues;nom;;CCVVC;5362
moral;nom;;CVCVC;5369
nariz;nom;;CVCVC;5377
medir;ver;;CVCVC;5438
vídeo;adj;;CVCVV;5441
falsa;adj;;CVCCV;5444
lidar;ver;;CVCVC;5451
copas;nom;;CVCVC;5460
gênio;nom;;CVCVV;5510
norma;nom;;CVCCV;5513
séria;adj;;CVCVV;5548
certa;gram;det;CVCCV;5551
recuo;nom;;CVCVV;5559
salvo;gram;prp;CVCCV;5586
envio;nom;;VCCVV;5591
ídolo;nom;;VCVCV;5604
preto;adj;;CCVCV;5617
caros;adj;;CVCVC;5641
pause;gram;pu;CVVCV;5649
fatal;adj;;CVCVC;5655
senão;adv;;CVCVV;5662
havia;gram;prp;CVCVV;5669
dever;nom;;CVCVC;5691
máfia;nom;;CVCVV;5696
febre;nom;;CVCCV;5716
tetra;adj;;CVCCV;5736
ossos;nom;;VCCVC;5754
ótima;adj;;VCVCV;5773
lesão;nom;;CVCVV;5783
tinta;nom;;CVCCV;5790
adiar;ver;;VCVVC;5791
quilo;nom;;CVVCV;5798
sítio;nom;;CVCVV;5813
trens;nom;;CCVCC;5831
lenta;adj;;CVCCV;5851
cento;num;;CVCCV;5861
cousa;nom;;CVVCV;5864
caput;nom;;CVCVC;5871
punir;ver;;CVCVC;5894
blitz;nom;;CCVCC;5900
corsa;adj;;CVCCV;5902
ienes;nom;;VVCVC;5904
novas;nom;;CVCVC;5907
forte;adv;;CVCCV;5919
lotes;nom;;CVCVC;5923
mesas;nom;;CVCVC;5937
aviso;nom;;VCVCV;5954
vinda;nom;;CVCCV;5977
exato;adj;;VCVCV;6070
ficha;nom;;CVCCV;6071
light;adj;;CVCCC;6084
papai;nom;;CVCVV;6090
reino;nom;;CVVCV;6101
rival;nom;;CVCVC;6102
expor;ver;;VCCVC;6107
monte;nom;;CVCCV;6144
circo;nom;;CVCCV;6164
notar;ver;;CVCVC;6181
baile;nom;;CVVCV;6210
beber;ver;;CVCVC;6226
risos;nom;;CVCVC;6240
nafta;nom;;CVCCV;6275
sacas;nom;;CVCVC;6287
abono;nom;;VCVCV;6321
pares;nom;;CVCVC;6339
luzes;nom;;CVCVC;6361
neles;gram;prp+pers;CVCVC;6372
breve;adj;;CCVCV;6379
senão;gram;kc;CVCVV;6391
aéreo;adj;;VVCVV;6417
bispo;nom;;CVCCV;6419
ceder;ver;;CVCVC;6421
susto;nom;;CVCCV;6429
frota;nom;;CCVCV;6438
molho;nom;;CVCCV;6439
ruído;nom;;CVVCV;6441
astro;nom;;VCCCV;6444
fundo;adj;;CVCCV;6450
fizer;ver;;CVCVC;6465
fraca;adj;;CCVCV;6466
jóias;nom;;CVVVC;6488
larga;adj;;CVCCV;6489
verde;nom;;CVCCV;6492
gatos;nom;;CVCVC;6497
feito;nom;;CVVCV;6508
piada;nom;;CVVCV;6545
pênis;nom;;CVCVC;6570
gasto;nom;;CVCCV;6584
pizza;nom;;CVCCV;6614
viola;gram;in;CVVCV;6621
puder;ver;;CVCVC;6631
bando;nom;;CVCCV;6632
mexer;ver;;CVCVC;6639
plano;adj;;CCVCV;6641
coroa;nom;;CVCVV;6648
verso;nom;;CVCCV;6682
genes;nom;;CVCVC;6688
torre;nom;;CVCCV;6694
raros;adj;;CVCVC;6707
fatia;nom;;CVCVV;6728
modos;nom;;CVCVC;6748
troco;nom;;CCVCV;6754
calma;nom;;CVCCV;6762
refém;nom;;CVCVC;6773
sexto;adj;;CVCCV;6787
balas;nom;;CVCVC;6794
ratos;nom;;CVCVC;6801
rocha;nom;;CVCCV;6803
rumos;nom;;CVCVC;6804
terça;adj;;CVCCV;6821
verbo;nom;;CVCCV;6822
terço;nom;;CVCCV;6834
banca;nom;;CVCCV;6841
vapor;nom;;CVCVC;6873
vazio;adj;;CVCVV;6874
beijo;nom;;CVVCV;6890
meias;adj;;CVVVC;6896
pesca;nom;;CVCCV;6948
corda;nom;;CVCCV;6953
grito;nom;;CCVCV;6990
primo;nom;;CCVCV;7004
grega;adj;;CCVCV;7013
solar;adj;;CVCVC;7061
caras;nom;;CVCVC;7077
palha;nom;;CVCCV;7101
russo;nom;;CVCCV;7105
prima;nom;;CCVCV;7117
lobby;nom;;CVCCV;7132
teses;nom;;CVCVC;7137
lutas;nom;;CVCVC;7147
limpo;adj;;CVCCV;7165
bruta;adj;;CCVCV;7174
fogos;nom;;CVCVC;7182
modem;nom;;CVCVC;7188
negro;nom;;CVCCV;7189
cruel;adj;;CCVVC;7201
bebês;nom;;CVCVC;7218
mania;nom;;CVCVV;7234
culto;nom;;CVCCV;7243
tropa;nom;;CCVCV;7259
bruto;adj;;CCVCV;7264
santo;nom;;CVCCV;7280
bangu;nom;;CVCCV;7286
lavar;ver;;CVCVC;7296
alvos;nom;;VCCVC;7302
cerco;nom;;CVCCV;7304
duelo;nom;;CVVCV;7326
natal;adj;;CVCVC;7376
supor;ver;;CVCVC;7380
vital;adj;;CVCVC;7384
exata;adj;;VCVCV;7395
ótica;adj;;VCVCV;7399
hélio;nom;;CVCVV;7410
vício;nom;;CVCVV;7418
viúva;nom;;CVVCV;7420
firma;nom;;CVCCV;7434
libra;nom;;CVCCV;7438
caras;adj;;CVCVC;7451
moças;nom;;CVCVC;7461
ético;adj;;VCVCV;7485
menos;gram;prp;CVCVC;7490
noiva;nom;;CVVCV;7491
traço;nom;;CCVCV;7520
árabe;adj;;VCVCV;7539
belas;adj;;CVCVC;7540
gordo;adj;;CVCCV;7548
jeans;nom;;CVVCC;7550
super;adj;;CVCVC;7557
vasos;nom;;CVCVC;7575
irmãs;nom;;VCCVC;7584
suave;adj;;CVVCV;7600
grego;adj;;CCVCV;7636
fiéis;nom;;CVVVC;7661
prosa;nom;;CCVCV;7666
dieta;nom;;CVVCV;7677
music;nom;;CVCVC;7689
doses;nom;;CVCVC;7726
fibra;nom;;CVCCV;7728
sueco;adj;;CVVCV;7737
fumar;ver;;CVCVC;7747
trave;nom;;CCVCV;7752
átomo;nom;;VCVCV;7755
guias;nom;;CVVVC;7759
seios;nom;;CVVVC;7789
deter;ver;;CVCVC;7799
linda;adj;;CVCCV;7802
parto;nom;;CVCCV;7806
raras;adj;;CVCVC;7808
duras;adj;;CVCVC;7818
ombro;nom;;VCCCV;7828
armar;ver;;VCCVC;7835
magia;nom;;CVCVV;7844
ativo;adj;;VCVCV;7860
azuis;adj;;VCVVC;7883
dever;ver;;CVCVC;7887
teens;nom;;CVVCC;7912
ência;nom;;VCCVV;7918
gávea;nom;;CVCVV;7919
fusca;nom;;CVCCV;7974
lenda;nom;;CVCCV;7998
boate;nom;;CVVCV;8011
sigla;nom;;CVCCV;8031
gases;nom;;CVCVC;8039
vazia;adj;;CVCVV;8045
largo;adj;;CVCCV;8060
boxes;nom;;CVCVC;8070
calça;nom;;CVCCV;8072
money;nom;;CVCVV;8120
morta;adj;;CVCCV;8121
motor;adj;;CVCVC;8122
ânimo;nom;;VCVCV;8135
arena;nom;;VCVCV;8137
botar;ver;;CVCVC;8140
rombo;nom;;CVCCV;8172
dizer;nom;;CVCVC;8226
globo;nom;;CCVCV;8233
trono;nom;;CCVCV;8240
pátio;nom;;CVCVV;8256
latas;nom;;CVCVC;8277
clipe;nom;;CCVCV;8312
meias;nom;;CVVVC;8320
ética;adj;;VCVCV;8361
penha;nom;;CVCCV;8369
perua;nom;;CVCVV;8370
veloz;adj;;CVCVC;8375
motos;nom;;CVCVC;8414
asilo;nom;;VCVCV;8424
fuzis;nom;;CVCVC;8435
lagoa;nom;;CVCVV;8437
litro;nom;;CVCCV;8438
faces;nom;;CVCVC;8500
terço;adj;;CVCCV;8507
farsa;nom;;CVCCV;8547
digno;adj;;CVCCV;8576
senão;gram;prp;CVCVV;8588
dados;adj;;CVCVC;8599
nelas;gram;prp+pers;CVCVC;8605
cotas;nom;;CVCVC;8619
surfe;nom;;CVCCV;8633
lindo;adj;;CVCCV;8650
alemã;nom;;VCVCV;8689
cobra;nom;;CVCCV;8692
laços;nom;;CVCVC;8699
mitos;nom;;CVCVC;8700
pesos;nom;;CVCVC;8702
sacos;nom;;CVCVC;8706
santa;adj;;CVCCV;8707
signo;nom;;CVCCV;8708
dúzia;nom;;CVCVV;8724
furto;nom;;CVCCV;8765
focos;nom;;CVCVC;8789
celas;nom;;CVCVC;8834
livre;nom;;CVCCV;8845
telão;nom;;CVCVV;8853
veios;nom;;CVVVC;8857
black;nom;;CCVCC;8860
fruta;nom;;CCVCV;8865
forno;nom;;CVCCV;8900
mouse;nom;;CVVCV;8905
pólos;nom;;CVCVC;8908
raças;nom;;CVCVC;8935
sutil;adj;;CVCVC;8939
largo;nom;;CVCCV;8956
bossa;nom;;CVCCV;8975
barba;nom;;CVCCV;9023
ibope;nom;;VCVCV;9033
malas;nom;;CVCVC;9037
óbvia;adj;;VCCVV;9098
sabão;nom;;CVCVV;9127
viola;nom;;CVVCV;9130
xviii;adj;;CCVVV;9131
belga;adj;;CVCCV;9137
botão;nom;;CVCVV;9138
malha;nom;;CVCCV;9152
mamãe;nom;;CVCVV;9153
selos;nom;;CVCVC;9162
ácido;nom;;VCVCV;9194
